"asc_cart","b_cost","asc_carnt","b_vehlic","asc_bus","asc_tr","asc_bw","logLike"
-0.1,-0.2,0.4,0.4,0.1,0.01,-0.04,-4435.47159110791
-0.00234727277558783,-0.236830318443849,0.195016113079857,0.379039474675046,0.225537403080547,0.114309587272476,0.0953323563090632,-4085.65311756041
-0.097683972568558,-0.208025532874162,-0.440095997229173,0.332803788448447,0.162419283888419,-0.008488318792685,0.0978227096415104,-3667.3569504582
-0.0799903812330947,-0.203146083715615,-0.548940124502222,0.207314285325488,0.105672289593595,-0.0210699051655947,0.119469424517999,-3353.62512263647
-0.082284351424012,-0.206785727990724,-0.105225440454274,0.095496472100706,0.0572880758772929,-0.0249328557045498,0.0901039258186503,-3241.72794178769
-0.0848268173718507,-0.203789117237839,0.313130785448685,0.0203451695166842,0.0249506391594004,-0.0389763075013898,0.0894177740938231,-3218.10013552042
-0.0821690856228777,-0.202155538805817,0.310416512646449,0.0231446980315715,0.0207901813314267,-0.0410270272627783,0.0934987818764035,-3218.0256617317
-0.0820303112190844,-0.201828873376196,0.310802530277015,0.0230498846816803,0.0207136189256946,-0.0416981449662602,0.0933968935259399,-3218.02537151065
-0.0819630096303793,-0.201816285807737,0.310846225931983,0.0230474815053769,0.0207936637263274,-0.0416558833554062,0.0933955530193434,-3218.02537057502
-0.0819609121899385,-0.201815336163457,0.310843593123437,0.0230475756043444,0.0207945094346255,-0.0416531033818934,0.093395739566041,-3218.02537057231
